well_name,x,y,cluster,prob
25-009-21276-00-00,7.027541,7.3818517,-1,0.0
25-009-21278-00-00,5.5996704,6.2443786,4,0.790261439055385
25-009-21294-00-00,-1.0312673,4.52687,1,1.0
25-009-21297-00-00,4.033658,8.940437,0,1.0
25-009-21299-00-00,3.9450982,9.033265,0,1.0
25-009-21302-00-00,0.42060107,5.469359,1,1.0
25-009-57104-00-00,5.9265466,3.9068425,5,1.0
25-009-60035-00-00,5.9919367,4.0566983,5,1.0
25-009-60069-00-00,-1.5399059,4.6487575,1,1.0
25-009-60074-00-00,-1.2411618,4.2430096,1,1.0
25-011-21369-00-00,0.7468905,4.962267,1,0.6421521290168949
25-011-21373-00-00,5.812999,9.559633,0,1.0
25-015-21527-00-00,6.0849004,6.870304,-1,0.0
25-019-21058-00-00,4.981193,9.520833,0,1.0
25-019-21075-00-00,3.666168,9.083046,0,1.0
25-019-21086-00-00,6.236636,9.1209955,0,0.8104784092244178
25-019-21095-00-00,7.969476,9.009031,0,1.0
25-019-21096-00-00,0.80410814,5.1120534,1,0.7677295492117557
25-019-21097-00-00,5.772248,9.5702715,0,1.0
25-019-21099-00-00,1.1610798,5.8731837,1,1.0
25-019-21100-00-00,4.512812,8.816018,0,0.382731418654117
25-019-21102-00-00,7.215082,7.175057,-1,0.0
25-019-21110-00-00,4.27711,9.274965,0,1.0
25-019-21111-00-00,0.5075179,5.756663,1,1.0
25-019-21112-00-00,6.462604,9.353718,0,1.0
25-019-21114-00-00,5.7627783,9.585212,0,1.0
25-019-21119-00-00,1.0367866,6.0854807,1,1.0
25-019-21130-00-00,3.156607,8.685115,0,1.0
25-019-21131-00-00,4.8179264,9.404648,0,1.0
25-019-21132-00-00,4.821655,9.366354,0,1.0
25-019-21133-00-00,7.4674025,9.342758,0,1.0
25-019-21139-00-00,-0.14027365,4.4808373,1,0.7058846584349954
25-019-21156-00-00,4.154217,9.370274,0,1.0
25-019-21157-00-00,7.960603,7.6951666,-1,0.0
25-021-05023-00-00,-1.1535542,4.2967706,1,1.0
25-021-05033-00-00,2.8865225,8.683798,0,1.0
25-021-05042-00-00,-0.65527606,5.4554677,1,0.718751142179025
25-021-05044-00-00,-0.33079296,2.9214737,1,1.0
25-021-05047-00-00,3.808336,9.452103,0,1.0
25-021-05048-00-00,-0.74500334,3.4273996,1,1.0
25-021-05065-00-00,0.04480815,2.969701,1,0.7419940153123431
25-021-05081-00-00,-0.25098854,2.8426378,1,0.9333310515460402
25-021-05084-00-00,-1.4207963,2.7848272,1,1.0
25-021-05086-00-00,-0.9898997,2.4442742,1,1.0
25-021-05087-00-00,-1.1599423,4.0716367,1,1.0
25-021-05090-00-00,-0.051053915,3.0341961,1,0.7803097832730354
25-021-05091-00-00,8.056294,8.892769,0,1.0
25-021-05092-00-00,6.193399,9.561352,0,0.9875492804666928
25-021-05113-00-00,1.3543671,3.825693,1,0.7556788042203632
25-021-05115-00-00,0.75140506,4.518479,1,0.5378699370443806
