"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25101235210000","A. B. Energy LLC","Barger  28-34-1","Gas","Producing","Toole","Prairie Dell","34N-1W","28",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-101-23521-00-00","5/31/2012 12:00:00 AM","Bow Island, Sunburst","4648","0","285","0","31",
"25-101-23521-00-00","4/30/2012 12:00:00 AM","Bow Island, Sunburst","4648","0","284","0","28",
"25-101-23521-00-00","3/31/2012 12:00:00 AM","Bow Island, Sunburst","4648","0","349","0","31",
"25-101-23521-00-00","2/29/2012 12:00:00 AM","Bow Island, Sunburst","4648","0","338","0","29",
"25-101-23521-00-00","1/31/2012 12:00:00 AM","Bow Island, Sunburst","4648","0","269","0","28",
"25-101-23521-00-00","12/31/2011 12:00:00 AM","Bow Island, Sunburst","4648","0","262","0","31",
"25-101-23521-00-00","11/30/2011 12:00:00 AM","Bow Island, Sunburst","4648","0","250","0","29",
"25-101-23521-00-00","10/31/2011 12:00:00 AM","Bow Island, Sunburst","4648","0","266","0","31",
"25-101-23521-00-00","9/30/2011 12:00:00 AM","Bow Island, Sunburst","4648","0","219","0","30",
"25-101-23521-00-00","8/31/2011 12:00:00 AM","Bow Island, Sunburst","4648","0","200","0","31",
"25-101-23521-00-00","7/31/2011 12:00:00 AM","Bow Island, Sunburst","4648","0","207","0","31",
"25-101-23521-00-00","6/30/2011 12:00:00 AM","Bow Island, Sunburst","4648","0","213","0","30",
"25-101-23521-00-00","5/31/2011 12:00:00 AM","Bow Island, Sunburst","4648","0","216","0","31",
"25-101-23521-00-00","4/30/2011 12:00:00 AM","Bow Island, Sunburst","4648","0","207","0","31",
"25-101-23521-00-00","3/31/2011 12:00:00 AM","Bow Island, Sunburst","4648","0","210","0","30",
"25-101-23521-00-00","2/28/2011 12:00:00 AM","Bow Island, Sunburst","4648","0","209","0","29",
"25-101-23521-00-00","1/31/2011 12:00:00 AM","Bow Island, Sunburst","4648","0","214","0","28",
"25-101-23521-00-00","12/31/2010 12:00:00 AM","Bow Island, Sunburst","4648","0","247","0","31",
"25-101-23521-00-00","11/30/2010 12:00:00 AM","Bow Island, Sunburst","4648","0","220","0","30",
"25-101-23521-00-00","10/31/2010 12:00:00 AM","Bow Island, Sunburst","4648","0","200","0","31",
"25-101-23521-00-00","9/30/2010 12:00:00 AM","Bow Island, Sunburst","4648","0","183","0","29",
"25-101-23521-00-00","8/31/2010 12:00:00 AM","Bow Island, Sunburst","4648","0","178","0","31",
"25-101-23521-00-00","7/31/2010 12:00:00 AM","Bow Island, Sunburst","4648","0","166","0","30",
"25-101-23521-00-00","6/30/2010 12:00:00 AM","Bow Island, Sunburst","4648","0","178","0","30",
"25-101-23521-00-00","5/31/2010 12:00:00 AM","Bow Island, Sunburst","4648","0","167","0","30",
"25-101-23521-00-00","4/30/2010 12:00:00 AM","Bow Island, Sunburst","4648","0","175","0","30",
"25-101-23521-00-00","3/31/2010 12:00:00 AM","Bow Island, Sunburst","4648","0","178","0","30",
"25-101-23521-00-00","2/28/2010 12:00:00 AM","Bow Island, Sunburst","4648","0","94","0","19",
"25-101-23521-00-00","1/31/2010 12:00:00 AM","Bow Island, Sunburst","4648","0","149","0","24",
"25-101-23521-00-00","12/31/2009 12:00:00 AM","Bow Island, Sunburst","4648","0","133","0","28",
"25-101-23521-00-00","11/30/2009 12:00:00 AM","Bow Island, Sunburst","4648","0","108","0","24",
"25-101-23521-00-00","10/31/2009 12:00:00 AM","Bow Island, Sunburst","4648","0","94","0","19",
"25-101-23521-00-00","9/30/2009 12:00:00 AM","Bow Island, Sunburst","4648","0","45","0","6",
"25-101-23521-00-00","8/31/2009 12:00:00 AM","Bow Island, Sunburst","4648","0","107","0","14",
"25-101-23521-00-00","7/31/2009 12:00:00 AM","Bow Island, Sunburst","4648","0","21","0","3",
"25-101-23521-00-00","6/30/2009 12:00:00 AM","Bow Island, Sunburst","4648","0","81","0","9",
"25-101-23521-00-00","5/31/2009 12:00:00 AM","Bow Island, Sunburst","4648","0","221","0","31",
"25-101-23521-00-00","4/30/2009 12:00:00 AM","Bow Island, Sunburst","4648","0","245","0","30",
"25-101-23521-00-00","3/31/2009 12:00:00 AM","Bow Island, Sunburst","4648","0","244","0","30",
"25-101-23521-00-00","2/28/2009 12:00:00 AM","Bow Island, Sunburst","4648","0","159","0","22",
"25-101-23521-00-00","1/31/2009 12:00:00 AM","Bow Island, Sunburst","4648","0","216","0","28",
"25-101-23521-00-00","12/31/2008 12:00:00 AM","Bow Island, Sunburst","4648","0","287","0","30",
"25-101-23521-00-00","11/30/2008 12:00:00 AM","Bow Island, Sunburst","4648","0","241","0","30",
"25-101-23521-00-00","10/31/2008 12:00:00 AM","Bow Island, Sunburst","4648","0","240","0","31",
"25-101-23521-00-00","9/30/2008 12:00:00 AM","Bow Island, Sunburst","4648","0","228","0","30",
"25-101-23521-00-00","8/31/2008 12:00:00 AM","Bow Island, Sunburst","4648","0","206","0","30",
"25-101-23521-00-00","7/31/2008 12:00:00 AM","Bow Island, Sunburst","4648","0","173","0","31",
"25-101-23521-00-00","6/30/2008 12:00:00 AM","Bow Island, Sunburst","4648","0","157","0","30",
"25-101-23521-00-00","5/31/2008 12:00:00 AM","Bow Island, Sunburst","4648","0","153","0","29",
"25-101-23521-00-00","4/30/2008 12:00:00 AM","Bow Island, Sunburst","4648","0","140","0","17",
"25-101-23521-00-00","3/31/2008 12:00:00 AM","Bow Island, Sunburst","4648","0","305","0","31",
"25-101-23521-00-00","2/29/2008 12:00:00 AM","Bow Island, Sunburst","4648","0","312","0","28",
"25-101-23521-00-00","1/31/2008 12:00:00 AM","Bow Island, Sunburst","4648","0","310","0","31",
"25-101-23521-00-00","12/31/2007 12:00:00 AM","Bow Island, Sunburst","4648","0","342","0","31",
"25-101-23521-00-00","11/30/2007 12:00:00 AM","Bow Island, Sunburst","4648","0","306","0","30",
"25-101-23521-00-00","10/31/2007 12:00:00 AM","Bow Island, Sunburst","4648","0","311","0","31",
"25-101-23521-00-00","9/30/2007 12:00:00 AM","Bow Island, Sunburst","4648","0","317","0","30",
"25-101-23521-00-00","8/31/2007 12:00:00 AM","Bow Island, Sunburst","4648","0","239","0","26",
"25-101-23521-00-00","7/31/2007 12:00:00 AM","Bow Island, Sunburst","4648","0","264","0","27",
"25-101-23521-00-00","6/30/2007 12:00:00 AM","Bow Island, Sunburst","4648","0","306","0","30",
"25-101-23521-00-00","5/31/2007 12:00:00 AM","Bow Island, Sunburst","4648","0","323","0","31",
"25-101-23521-00-00","4/30/2007 12:00:00 AM","Bow Island, Sunburst","4648","0","354","0","30",
"25-101-23521-00-00","3/31/2007 12:00:00 AM","Bow Island, Sunburst","4648","0","351","0","30",
"25-101-23521-00-00","2/28/2007 12:00:00 AM","Bow Island, Sunburst","4648","0","342","0","29",
"25-101-23521-00-00","1/31/2007 12:00:00 AM","Bow Island, Sunburst","4648","0","313","0","31",
"25-101-23521-00-00","12/31/2006 12:00:00 AM","Bow Island, Sunburst","4648","0","402","0","31",
"25-101-23521-00-00","11/30/2006 12:00:00 AM","Bow Island, Sunburst","4648","0","390","0","30",
"25-101-23521-00-00","10/31/2006 12:00:00 AM","Bow Island, Sunburst","4648","0","384","0","31",
"25-101-23521-00-00","9/30/2006 12:00:00 AM","Bow Island, Sunburst","4648","0","348","0","30",
"25-101-23521-00-00","8/31/2006 12:00:00 AM","Bow Island, Sunburst","4648","0","353","0","31",
"25-101-23521-00-00","7/31/2006 12:00:00 AM","Bow Island, Sunburst","4648","0","345","0","31",
"25-101-23521-00-00","6/30/2006 12:00:00 AM","Bow Island, Sunburst","4648","0","315","0","30",
"25-101-23521-00-00","5/31/2006 12:00:00 AM","Bow Island, Sunburst","4648","0","329","0","31",
"25-101-23521-00-00","4/30/2006 12:00:00 AM","Bow Island, Sunburst","4648","0","299","0","30",
"25-101-23521-00-00","3/31/2006 12:00:00 AM","Bow Island, Sunburst","4648","0","285","0","30",
"25-101-23521-00-00","2/28/2006 12:00:00 AM","Bow Island, Sunburst","4648","0","272","0","29",
"25-101-23521-00-00","1/31/2006 12:00:00 AM","Bow Island, Sunburst","4648","0","311","0","31",
"25-101-23521-00-00","12/31/2005 12:00:00 AM","Bow Island, Sunburst","4648","0","267","0","31",
"25-101-23521-00-00","11/30/2005 12:00:00 AM","Bow Island, Sunburst","4648","0","278","0","31",
"25-101-23521-00-00","10/31/2005 12:00:00 AM","Bow Island, Sunburst","4648","0","237","0","31",
"25-101-23521-00-00","9/30/2005 12:00:00 AM","Bow Island, Sunburst","4648","0","0","0","0",
"25-101-23521-00-00","8/31/2005 12:00:00 AM","Bow Island, Sunburst","4648","0","0","0","0",
"25-101-23521-00-00","7/31/2005 12:00:00 AM","Bow Island, Sunburst","4648","0","0","0","0",
"25-101-23521-00-00","6/30/2005 12:00:00 AM","Bow Island, Sunburst","4648","0","0","0","0",
"25-101-23521-00-00","5/31/2005 12:00:00 AM","Bow Island, Sunburst","4648","0","0","0","0",
"25-101-23521-00-00","4/30/2005 12:00:00 AM","Bow Island, Sunburst","4648","0","22","0","2",
"25-101-23521-00-00","3/31/2005 12:00:00 AM","Bow Island, Sunburst","4648","0","0","0","0",
"25-101-23521-00-00","2/28/2005 12:00:00 AM","Bow Island, Sunburst","4648","0","0","0","0",
"25-101-23521-00-00","1/31/2005 12:00:00 AM","Bow Island, Sunburst","4648","0","53","0","5",
"25-101-23521-00-00","12/31/2004 12:00:00 AM","Bow Island, Sunburst","4648","0","385","0","30",
"25-101-23521-00-00","11/30/2004 12:00:00 AM","Bow Island, Sunburst","4648","0","380","0","30",
"25-101-23521-00-00","10/31/2004 12:00:00 AM","Bow Island, Sunburst","4648","0","430","0","31",
"25-101-23521-00-00","9/30/2004 12:00:00 AM","Bow Island, Sunburst","4648","0","446","0","30",
"25-101-23521-00-00","8/31/2004 12:00:00 AM","Bow Island, Sunburst","4648","0","446","0","31",
"25-101-23521-00-00","7/31/2004 12:00:00 AM","Bow Island, Sunburst","4648","0","459","0","31",
"25-101-23521-00-00","6/30/2004 12:00:00 AM","Bow Island, Sunburst","4648","0","441","0","30",
"25-101-23521-00-00","5/31/2004 12:00:00 AM","Bow Island, Sunburst","4648","0","451","0","31",
"25-101-23521-00-00","4/30/2004 12:00:00 AM","Bow Island, Sunburst","4648","0","447","0","30",
